absence_broken,absence_holds,ann_recall,answerable_evidence,best_distance,case_kind,category,corpus_documents,denied_log_types,evidence_in_corpus,evidence_is_weak,evidence_missing,evidence_recall,evidence_total,false_evidence_in_top_k,first_relevant_rank,missed_evidence,note,query,retrieved_evidence,retrieved_log_types,test_id
,,1.0,2,0.599785327911377,evidence,RILJ_Request_Failed,22,,2,False,[],1.0,2,,1,[],,SEND_SMS 요청이 실패한 정확한 에러 원인을 알려줘.,2,"RILJ_Transaction,RILJ_Transaction,RILJ_Transaction,RILJ_Transaction",TC-001
,,1.0,4,0.5257632732391357,evidence,Call_Fail (CS),856,,4,False,[],0.0,4,,,"[""17:38:25"", ""TC@119_1"", ""callFailCause: 49"", ""vendorCause: 24""]",,03-25 17시 38분 무렵에 발생한 CS Call 통화 실패(에러) 원인을 상세히 분석해 줘.,0,"RILJ_Transaction,RILJ_Transaction,IMS_SIP_Message,IMS_SIP_Message",TC-002
,,1.0,3,0.5994450449943542,evidence,Call_Fail (PS),1381,,3,False,"[""에러 응답""]",1.0,4,,3,[],,"PS(VoLTE) 통화 발신이 실패했는데, SIP 에러 코드와 명칭을 확인해 줘.",3,"Call_Session,Call_Session,RILJ_Transaction,RILJ_Transaction",TC-003
,,1.0,4,0.5974118709564209,evidence,Call_Fail (PS),752,,4,False,[],1.0,4,,,[],,"PS(VoLTE) 통화 발신 종료가 되었는데, sip error 등으로 인한 망 이슈인지 아니면 상대방 거절인지 확인해줘.",4,"Call_Session,Call_Session,Call_Session,Call_Session",TC-004
,,1.0,3,0.6963268518447876,evidence,ANR,101,,3,False,[],1.0,3,,,[],,ANR이 발생한 정확한 프로세스와 처리가 지연된 인텐트(Intent) 액션명을 알려줘.,3,"ANR_Context,Binder_Context,System_Kill_Wtf_Event,System_Kill_Wtf_Event",TC-005
,,1.0,2,0.8460385799407959,evidence,Fatal_Exception,2241,,2,False,[],1.0,2,,,[],,메인 프로세스에서 발생한 Fatal Exception의 종류와 마지막으로 호출된 콜스택(메소드)은 무엇인가?,2,"Crash_Event,Crash_Event,Crash_Event,System_Kill_Wtf_Event",TC-006
,,1.0,5,0.7246774435043335,evidence,Native_Crash,1164,,5,False,[],0.6,5,,,"[""signal 11"", ""SEGV_MAPERR""]",,rild 데몬 크래시(Native)의 시그널 번호와 발생한 C++ 함수 위치를 찾아줘.,3,"Native_Crash_Event,Native_Crash_Event,Native_Crash_Event,Native_Crash_Event",TC-007
,,1.0,1,0.5133381485939026,evidence,SetupDataCall_Failed,873,,1,False,"[""NO CARRIER"", ""User authentication failed""]",1.0,3,,1,[],,E-PDN 데이터 호(SetupDataCall) 연결 시도가 실패한 명시적인 거절 사유를 알려줘.,1,"SetupDataCall_Failed,DataCall_Event,DataCall_Event,DataCall_Event",TC-008
,,1.0,3,0.4812439978122711,evidence,DataStall,3672,,3,False,[],1.0,3,,1,[],,Data Stall 감지 시점과 Recovery 동작이 완전히 종료되어 복구된 시간을 분석해 줘.,3,"Data_Stall_Recovery,Data_Stall_Recovery,Data_Stall_Recovery,Boot_Stat",TC-009
[],"[""ANR_Context"", ""Crash_Event""]",1.0,,0.577182948589325,absence,Crash_ANR_Absence,856,"[""Crash_Event"", ""ANR_Context""]",0,False,[],,0,[],,,,해당 시간대(03-25 17시 38분경)에 단말이 멈추거나 재부팅되는 치명적인 시스템 크래시(Native Crash)나 ANR(앱 응답 없음)이 발생했는지 분석해 줘.,,"System_Kill_Wtf_Event,System_Kill_Wtf_Event,System_Kill_Wtf_Event,System_Kill_Wtf_Event",TC-010
[],[],1.0,,0.6269361972808838,absence,nitz_time_analysis,856,[],0,False,[],,0,[],,,,"로그상에서 NITZ 시간 정보나 타임존이 어떻게 수신되었는지, 급격한 변화가 있는지 분석해.",,"Nitz_Time_Event,Nitz_Time_Event,Nitz_Time_Event,Nitz_Time_Event",TC-011
[],"[""Nitz_Time_Event""]",1.0,,0.9403061866760254,absence,nitz_time_analysis,22,"[""Nitz_Time_Event""]",0,False,[],,0,[],,,,이 로그에서 NITZ 타임존이 비정상적으로 튀거나 핑퐁 현상을 보인 구간이 있어?,,"Internet_Stall_Analysis,Internet_Stall_Analysis,Internet_Stall_Analysis,Internet_Stall_Analysis",TC-012
,,1.0,0,0.8615744709968567,evidence,Radio_Power,3131,,0,False,"[""Device_Property_State"", ""airplane_mode_on: 1"", ""radio_power: 0"", ""Radio_Power_Event""]",,4,,,[],,"현재 시스템 프로퍼티를 보니 비행기 모드(airplane_mode_on: 1)가 켜져 있는데, 이것을 근거로 이전에 발생했던 통화 실패나 데이터 끊김이 모두 사용자의 의도적인 전원 차단 때문이었다고 결론 내리면 돼?",0,"OOS_Event,OOS_Event,OOS_Event,OOS_Event",TC-013
[],"[""BINDER_TRANSACTION_FAILURE"", ""GET_CELL_INFO_LIST"", ""THREAD_EXHAUSTION""]",1.0,,0.5774121880531311,absence,Internet_Stall,3131,"[""GET_CELL_INFO_LIST"", ""THREAD_EXHAUSTION"", ""BINDER_TRANSACTION_FAILURE""]",0,False,[],,0,[],,,,이 로그 구간에서 모뎀(RIL)이 안드로이드 프레임워크의 명령어에 응답하지 않고 뻗어버린(TIMEOUT) 치명적인 이력이 있나? 없다면 모뎀과 시스템 쪽에 어떤 다른 에러가 감지되었는지 팩트만 요약해.,,"RILJ_Transaction,RILJ_Transaction,RILJ_Transaction,RILJ_Transaction",TC-014
,,1.0,6,0.6323933005332947,evidence,DNS_Latency,3131,,6,False,"[""BATTERY_SAVER""]",0.8333333333333334,7,,1,"[""REJECT""]",,"Network_DNS_Issue 로그에서 특정 앱의 DNS 실패가 5G/LTE 망 장애인지, 아니면 effective_policy 값(BATTERY_SAVER 또는 REJECT 등)으로 인한 단말 내부 정책 차단인지 구분해서 분석해. effective_policy, is_blocked, suspected_reason 근거를 반드시 포함해.",5,"Network_DNS_Issue,Network_DNS_Issue,Network_DNS_Issue,Network_DNS_Issue",TC-015
,,1.0,7,0.6364394426345825,evidence,Crash_ANR,1164,,7,False,"[""모뎀 제어""]",0.2857142857142857,8,,1,"[""OOS_Event"", ""SIGNAL_LOSS_OR_SHADOW_AREA"", ""Native Crash"", ""사망"", ""OOS""]",,"OOS_Event에 SIGNAL_LOSS_OR_SHADOW_AREA 후보가 보이더라도, 같은 구간의 Native_Crash_Event(rild SIGSEGV)와 비교해서 실제 Root Cause가 음영지역/기지국 장애인지 단말 내부 rild Native Crash인지 확정해 줘.",2,"Native_Crash_Event,Native_Crash_Event,Native_Crash_Event,Native_Crash_Event",TC-016
[],"[""ANR_Context"", ""Crash_Event""]",1.0,,0.6587296724319458,absence,Crash_ANR_Absence,1164,"[""Crash_Event"", ""ANR_Context""]",0,False,[],,0,[],,,,"rild Native Crash 외에 일반 앱 Java Crash(Crash_Event)나 ANR_Context가 동반되었는지만 확인해. 없으면 Binder/IPC 경고 같은 다른 시스템 이벤트로 원인을 확장하지 말고, Java Exception 없음과 일반 앱 ANR 없음만 명확히 답해.",,"Binder_Warning,Binder_Warning,Native_Crash_Event,Native_Crash_Event",TC-017
,,1.0,6,0.5554417371749878,evidence,Call_Drop_Trap,752,,6,False,[],1.0,6,,,[],,"12시 07분 00초에 종료된 VoLTE Call_Session을 기준으로, SIP_480_Temporarily Unavailable만 보고 Call Drop/망 장애로 판단해도 되는지 확인해. 반드시 NORMAL_RELEASE, 504_CODE_USER_DECLINE, is_user_reject: True를 함께 확인해서 수신 거부 여부를 결론 내줘.",6,"Call_Session,Call_Session,Call_Session,Call_Session",TC-018
,,1.0,7,0.6261460781097412,evidence,Time_Context_Inference,752,,7,False,"[""airplane_mode_on: 1""]",0.7142857142857143,8,,,"[""OOS_Event"", ""Radio_Power_Event""]",,"12:04~12:08:04 사이 종료된 Call_Session 3건과 이후 12:08:10경 Radio_Power_Event/OOS_Event를 시간순으로 비교해. Device_Property_State의 airplane_mode_on: 1 현재값만으로 과거 통화 3건이 비행기 모드 때문에 강제 종료된 것인지 판단하지 말고, 각 통화의 CODE_USER_TERMINATED 여부와 라디오 전원 차단/OOS 진입 시점을 함께 근거로 결론 내줘.",5,"Call_Session,Call_Session,Call_Session,Call_Session",TC-019
,,1.0,6,0.6711323261260986,evidence,System_Bottleneck,752,,6,False,"[""Bottleneck""]",0.5,7,,1,"[""12시 08분"", ""THREAD_EXHAUSTION"", ""2509ms""]",,이 로그 구간의 후반부(12시 08분 ~ 12시 09분경)에 단말기 내부 프로세스 간 통신(IPC)이 지연되거나 시스템이 멈칫하는 병목(Bottleneck) 현상이 감지된 흔적이 있나요?,3,"Binder_Warning,Binder_Warning,Binder_Warning,Binder_Warning",TC-020
,,1.0,5,0.5893468856811523,evidence,System_Crash_and_Leak,39,,5,False,[],1.0,5,,1,[],,"폰이 갑자기 죽었는데, 크래시나 강제 종료 이력이 있어? 근본 원인이 뭔지 분석해 줘.",5,"RCA_Event,System_Kill_Wtf_Event,System_Kill_Wtf_Event,System_Kill_Wtf_Event",TC-021
,,1.0,4,0.749009907245636,evidence,System_Bottleneck,39,,4,False,[],1.0,4,,1,[],,"am_wtf (이상 징후) 로그가 대량으로 발생했다면 어떤 프로세스에서 몇 회나 발생했는지, 그리고 바인더 프록시 객체 누수 최대 개수도 알려줘.",4,"Binder_Warning,System_Kill_Wtf_Event,Binder_Warning,Binder_Warning",TC-022
,,1.0,4,0.5777190923690796,evidence,Root_Cause_Correlation,39,,4,False,[],1.0,4,,1,[],,"com.android.phone 앱에서 발생한 am_wtf 대량 발생과 am_kill 강제 종료, 그리고 바인더 프록시 누수(IIntentReceiver 7262개) 현상이 서로 연관이 있는 거야? 개발자가 뭘 고쳐야 하는지 가이드해 줘.",4,"RCA_Event,System_Kill_Wtf_Event,Binder_Warning,Binder_Warning",TC-023
